 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +5.0666666666666664E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7426015999104166E+01	
  +5.0833333333333330E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426126321161984E+01	
  +5.0999999999999996E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426411201837716E+01	
  +5.1166666666666663E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7426437258809763E+01	
  +5.1333333333333337E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.7426606786730375E+01	
  +5.1500000000000004E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.7426599045408299E+01	
  +5.1666666666666670E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426702813200176E+01	
  +5.1833333333333336E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426683109161896E+01	
  +5.2000000000000002E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426746990721650E+01	
  +5.2166666666666668E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7426720517992500E+01	
  +5.2333333333333334E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7426759990870096E+01	
  +5.2500000000000000E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7426733316148834E+01	
  +5.2666666666666666E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7281190844732052E+01	
  +5.2833333333333332E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7305926655140794E+01	
  +5.2999999999999998E+00	  +3.6000000000000000E+01	  +1.1290000000000000E+03	  +2.7262633941248676E+01	
  +5.3166666666666664E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7152254895792758E+01	
  +5.3333333333333330E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7138554752947659E+01	
  +5.3499999999999996E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7130259230227185E+01	
  +5.3666666666666663E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7133436212334257E+01	
  +5.3833333333333337E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7130037779397210E+01	
  +5.4000000000000004E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7132672292509412E+01	
  +5.4166666666666670E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7130382348888212E+01	
  +5.4333333333333336E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7132257550775861E+01	
  +5.4500000000000002E+00	  +3.6000000000000000E+01	  +1.1290000000000000E+03	  +2.7130627488220760E+01	
  +5.4666666666666668E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7131941004790225E+01	
  +5.4833333333333334E+00	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.7130756601907482E+01	
  +5.5000000000000000E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.7131704040759210E+01	
  +5.5166666666666666E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7130842399323395E+01	
  +5.5333333333333332E+00	  +3.5000000000000000E+01	  +1.1300000000000000E+03	  +2.6983514599063550E+01	
  +5.5499999999999998E+00	  +3.5000000000000000E+01	  +1.1290000000000000E+03	  +2.6858059465713172E+01	
  +5.5666666666666664E+00	  +3.5000000000000000E+01	  +1.1300000000000000E+03	  +2.6838015266565801E+01	
  +5.5833333333333330E+00	  +3.5000000000000000E+01	  +1.1310000000000000E+03	  +2.6831446530094315E+01	
  +5.5999999999999996E+00	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.6980551604919281E+01	
  +5.6166666666666663E+00	  +3.6000000000000000E+01	  +1.1290000000000000E+03	  +2.7103625632371774E+01	
  +5.6333333333333337E+00	  +3.6000000000000000E+01	  +1.1290000000000000E+03	  +2.7125424306262016E+01	
  +5.6500000000000004E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7278381651537991E+01	
  +5.6666666666666670E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7384608084187590E+01	
  +5.6833333333333336E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7399524035367172E+01	
  +5.7000000000000002E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7407009691778544E+01	
  +5.7166666666666668E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7411968236166381E+01	
  +5.7333333333333334E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7415994993477437E+01	
  +5.7500000000000000E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7418572978428134E+01	
  +5.7666666666666666E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7420751483990056E+01	
  +5.7833333333333332E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7422092770100146E+01	
  +5.7999999999999998E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7423273339796111E+01	
  +5.8166666666666664E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7423953222270644E+01	
  +5.8333333333333330E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7424596961769009E+01	
  +5.8499999999999996E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7424937336440866E+01	
  +5.8666666666666663E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7425291000659140E+01	
  +5.8833333333333337E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7425451285308363E+01	
  +5.9000000000000004E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7425644681984267E+01	
  +5.9166666666666670E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7425714854876031E+01	
  +5.9333333333333336E+00	  +3.7000000000000000E+01	  +1.1280000000000000E+03	  +2.7425821183496691E+01	
  +5.9500000000000002E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7425844751783664E+01	
  +5.9666666666666668E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7425902560852908E+01	
  +5.9833333333333334E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7425902603990650E+01	
  +6.0000000000000000E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.7537103561589728E+01	
  +6.0166666666666666E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7700928657300359E+01	
  +6.0333333333333332E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7815957817973196E+01	
  +6.0499999999999998E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.7903513240491499E+01	
  +6.0666666666666664E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.7964349241033958E+01	
  +6.0833333333333330E+00	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.8011319076296118E+01	
  +6.0999999999999996E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8043484441851913E+01	
  +6.1166666666666663E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8068785855910928E+01	
  +6.1333333333333337E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8085788962820374E+01	
  +6.1500000000000004E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8099520167157159E+01	
  +6.1666666666666670E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.8108487188322012E+01	
  +6.1833333333333336E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8115999580961695E+01	
  +6.2000000000000002E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.8120736754634635E+01	
  +6.2166666666666668E+00	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.8124908683814009E+01	
  +6.2333333333333334E+00	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.8127420578766127E+01	
  +6.2500000000000000E+00	  +3.6000000000000000E+01	  +1.1320000000000000E+03	  +2.7988305626367019E+01	
  +6.2666666666666666E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.8014134308799367E+01	
