 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +1.2233333333333333E+01	  +2.5000000000000000E+01	  +1.1340000000000000E+03	  +2.4942777733515669E+01	
  +1.2250000000000000E+01	  +2.5000000000000000E+01	  +1.1400000000000000E+03	  +2.4945851999778853E+01	
  +1.2266666666666667E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4943750356034851E+01	
  +1.2283333333333333E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4945056784869461E+01	
  +1.2300000000000001E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4945430456121048E+01	
  +1.2316666666666666E+01	  +2.5000000000000000E+01	  +1.1330000000000000E+03	  +2.4947027953431473E+01	
  +1.2333333333333334E+01	  +2.5000000000000000E+01	  +1.1330000000000000E+03	  +2.4946729283839140E+01	
  +1.2350000000000000E+01	  +2.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4947581261052900E+01	
  +1.2366666666666667E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4947304775668119E+01	
  +1.2383333333333333E+01	  +2.5000000000000000E+01	  +1.1330000000000000E+03	  +2.4947907742922588E+01	
  +1.2400000000000000E+01	  +2.5000000000000000E+01	  +1.1340000000000000E+03	  +2.4947755003490006E+01	
  +1.2416666666666666E+01	  +2.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4948242967793711E+01	
  +1.2433333333333334E+01	  +2.5000000000000000E+01	  +1.1340000000000000E+03	  +2.4948148939423231E+01	
  +1.2449999999999999E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4948496905845865E+01	
  +1.2466666666666667E+01	  +2.5000000000000000E+01	  +1.1390000000000000E+03	  +2.4948194343315127E+01	
  +1.2483333333333333E+01	  +2.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4948375671617129E+01	
